chord,rootnote,octave,notes,midi_numbers,formula
7sus2,A#,3,"A#, C, F, G#","46, 48, 53, 56","0, 2, 7, 10"
7sus4,A#,3,"A#, D#, F, G#","46, 51, 53, 56","0, 5, 7, 10"
7b5,A#,3,"A#, D, E, G#","46, 50, 52, 56","0, 4, 6, 10"
7#5,A#,3,"A#, D, F#, G#","46, 50, 54, 56","0, 4, 8, 10"
7b9,A#,3,"A#, D, F, G#, B","46, 50, 53, 56, 59","0, 4, 7, 10, 13"
7#9,A#,3,"A#, D, F, G#, C#","46, 50, 53, 56, 61","0, 4, 7, 10, 15"
hdim,A#,3,"A#, C#, E, G#","46, 49, 52, 56","0, 3, 6, 10"
maj,B,3,"B, D#, F#","47, 51, 54","0, 4, 7"
min,B,3,"B, D, F#","47, 50, 54","0, 3, 7"
7,B,3,"B, D#, F#, A","47, 51, 54, 57","0, 4, 7, 10"
maj7,B,3,"B, D#, F#, A#","47, 51, 54, 58","0, 4, 7, 11"
min7,B,3,"B, D, F#, A","47, 50, 54, 57","0, 3, 7, 10"
minmaj7,B,3,"B, D, F#, A#","47, 50, 54, 58","0, 3, 7, 11"
dim,B,3,"B, D, F","47, 50, 53","0, 3, 6"
aug,B,3,"B, D#, G","47, 51, 55","0, 4, 8"
aug(b7),B,3,"B, D#, G, A#","47, 51, 55, 58","0, 4, 8, 11"
sus2,B,3,"B, C#, F#","47, 49, 54","0, 2, 7"
sus4,B,3,"B, E, F#","47, 52, 54","0, 5, 7"
#4,B,3,"B, F, F#","47, 53, 54","0, 6, 7"
9,B,3,"B, D#, F#, A, C#","47, 51, 54, 57, 61","0, 4, 7, 10, 14"
11,B,3,"B, D#, F#, A, C#, E","47, 51, 54, 57, 61, 64","0, 4, 7, 10, 14, 17"
13,B,3,"B, D#, F#, A, C#, E, G#","47, 51, 54, 57, 61, 64, 68","0, 4, 7, 10, 14, 17, 21"
min9,B,3,"B, D, F#, A, C#","47, 50, 54, 57, 61","0, 3, 7, 10, 14"
min11,B,3,"B, D, F#, A, C#, E","47, 50, 54, 57, 61, 64","0, 3, 7, 10, 14, 17"
min13,B,3,"B, D, F#, A, C#, E, G#","47, 50, 54, 57, 61, 64, 68","0, 3, 7, 10, 14, 17, 21"
maj6,B,3,"B, D#, F#, G#","47, 51, 54, 56","0, 4, 7, 9"
b6,B,3,"B, D#, F#, G","47, 51, 54, 55","0, 4, 7, 8"
b3,B,3,"B, C#, D#, F#","47, 49, 51, 54","0, 2, 4, 7"
#9,B,3,"B, D#, F#, D","47, 51, 54, 62","0, 4, 7, 15"
dim7,B,3,"B, D, F, G#","47, 50, 53, 56","0, 3, 6, 9"
min6,B,3,"B, D, F#, G#","47, 50, 54, 56","0, 3, 7, 9"
maj9,B,3,"B, D#, F#, A#, C#","47, 51, 54, 58, 61","0, 4, 7, 11, 14"
7sus2,B,3,"B, C#, F#, A","47, 49, 54, 57","0, 2, 7, 10"
7sus4,B,3,"B, E, F#, A","47, 52, 54, 57","0, 5, 7, 10"
7b5,B,3,"B, D#, F, A","47, 51, 53, 57","0, 4, 6, 10"
7#5,B,3,"B, D#, G, A","47, 51, 55, 57","0, 4, 8, 10"
7b9,B,3,"B, D#, F#, A, C","47, 51, 54, 57, 60","0, 4, 7, 10, 13"
7#9,B,3,"B, D#, F#, A, D","47, 51, 54, 57, 62","0, 4, 7, 10, 15"
hdim,B,3,"B, D, F, A","47, 50, 53, 57","0, 3, 6, 10"
maj,C,4,"C, E, G","48, 52, 55","0, 4, 7"
min,C,4,"C, D#, G","48, 51, 55","0, 3, 7"
7,C,4,"C, E, G, A#","48, 52, 55, 58","0, 4, 7, 10"
maj7,C,4,"C, E, G, B","48, 52, 55, 59","0, 4, 7, 11"
min7,C,4,"C, D#, G, A#","48, 51, 55, 58","0, 3, 7, 10"
minmaj7,C,4,"C, D#, G, B","48, 51, 55, 59","0, 3, 7, 11"
dim,C,4,"C, D#, F#","48, 51, 54","0, 3, 6"
aug,C,4,"C, E, G#","48, 52, 56","0, 4, 8"
aug(b7),C,4,"C, E, G#, B","48, 52, 56, 59","0, 4, 8, 11"
sus2,C,4,"C, D, G","48, 50, 55","0, 2, 7"
sus4,C,4,"C, F, G","48, 53, 55","0, 5, 7"
#4,C,4,"C, F#, G","48, 54, 55","0, 6, 7"
9,C,4,"C, E, G, A#, D","48, 52, 55, 58, 62","0, 4, 7, 10, 14"
11,C,4,"C, E, G, A#, D, F","48, 52, 55, 58, 62, 65","0, 4, 7, 10, 14, 17"
13,C,4,"C, E, G, A#, D, F, A","48, 52, 55, 58, 62, 65, 69","0, 4, 7, 10, 14, 17, 21"
min9,C,4,"C, D#, G, A#, D","48, 51, 55, 58, 62","0, 3, 7, 10, 14"
min11,C,4,"C, D#, G, A#, D, F","48, 51, 55, 58, 62, 65","0, 3, 7, 10, 14, 17"
min13,C,4,"C, D#, G, A#, D, F, A","48, 51, 55, 58, 62, 65, 69","0, 3, 7, 10, 14, 17, 21"
maj6,C,4,"C, E, G, A","48, 52, 55, 57","0, 4, 7, 9"
b6,C,4,"C, E, G, G#","48, 52, 55, 56","0, 4, 7, 8"
b3,C,4,"C, D, E, G","48, 50, 52, 55","0, 2, 4, 7"
#9,C,4,"C, E, G, D#","48, 52, 55, 63","0, 4, 7, 15"
dim7,C,4,"C, D#, F#, A","48, 51, 54, 57","0, 3, 6, 9"
min6,C,4,"C, D#, G, A","48, 51, 55, 57","0, 3, 7, 9"
maj9,C,4,"C, E, G, B, D","48, 52, 55, 59, 62","0, 4, 7, 11, 14"
7sus2,C,4,"C, D, G, A#","48, 50, 55, 58","0, 2, 7, 10"
7sus4,C,4,"C, F, G, A#","48, 53, 55, 58","0, 5, 7, 10"
7b5,C,4,"C, E, F#, A#","48, 52, 54, 58","0, 4, 6, 10"
7#5,C,4,"C, E, G#, A#","48, 52, 56, 58","0, 4, 8, 10"
7b9,C,4,"C, E, G, A#, C#","48, 52, 55, 58, 61","0, 4, 7, 10, 13"
7#9,C,4,"C, E, G, A#, D#","48, 52, 55, 58, 63","0, 4, 7, 10, 15"
hdim,C,4,"C, D#, F#, A#","48, 51, 54, 58","0, 3, 6, 10"
maj,C#,4,"C#, F, G#","49, 53, 56","0, 4, 7"
min,C#,4,"C#, E, G#","49, 52, 56","0, 3, 7"
7,C#,4,"C#, F, G#, B","49, 53, 56, 59","0, 4, 7, 10"
maj7,C#,4,"C#, F, G#, C","49, 53, 56, 60","0, 4, 7, 11"
min7,C#,4,"C#, E, G#, B","49, 52, 56, 59","0, 3, 7, 10"
minmaj7,C#,4,"C#, E, G#, C","49, 52, 56, 60","0, 3, 7, 11"
dim,C#,4,"C#, E, G","49, 52, 55","0, 3, 6"
aug,C#,4,"C#, F, A","49, 53, 57","0, 4, 8"
aug(b7),C#,4,"C#, F, A, C","49, 53, 57, 60","0, 4, 8, 11"
sus2,C#,4,"C#, D#, G#","49, 51, 56","0, 2, 7"
sus4,C#,4,"C#, F#, G#","49, 54, 56","0, 5, 7"
#4,C#,4,"C#, G, G#","49, 55, 56","0, 6, 7"
9,C#,4,"C#, F, G#, B, D#","49, 53, 56, 59, 63","0, 4, 7, 10, 14"
11,C#,4,"C#, F, G#, B, D#, F#","49, 53, 56, 59, 63, 66","0, 4, 7, 10, 14, 17"
13,C#,4,"C#, F, G#, B, D#, F#, A#","49, 53, 56, 59, 63, 66, 70","0, 4, 7, 10, 14, 17, 21"
min9,C#,4,"C#, E, G#, B, D#","49, 52, 56, 59, 63","0, 3, 7, 10, 14"
min11,C#,4,"C#, E, G#, B, D#, F#","49, 52, 56, 59, 63, 66","0, 3, 7, 10, 14, 17"
min13,C#,4,"C#, E, G#, B, D#, F#, A#","49, 52, 56, 59, 63, 66, 70","0, 3, 7, 10, 14, 17, 21"
maj6,C#,4,"C#, F, G#, A#","49, 53, 56, 58","0, 4, 7, 9"
b6,C#,4,"C#, F, G#, A","49, 53, 56, 57","0, 4, 7, 8"
b3,C#,4,"C#, D#, F, G#","49, 51, 53, 56","0, 2, 4, 7"
#9,C#,4,"C#, F, G#, E","49, 53, 56, 64","0, 4, 7, 15"
dim7,C#,4,"C#, E, G, A#","49, 52, 55, 58","0, 3, 6, 9"
min6,C#,4,"C#, E, G#, A#","49, 52, 56, 58","0, 3, 7, 9"
maj9,C#,4,"C#, F, G#, C, D#","49, 53, 56, 60, 63","0, 4, 7, 11, 14"
7sus2,C#,4,"C#, D#, G#, B","49, 51, 56, 59","0, 2, 7, 10"
7sus4,C#,4,"C#, F#, G#, B","49, 54, 56, 59","0, 5, 7, 10"
7b5,C#,4,"C#, F, G, B","49, 53, 55, 59","0, 4, 6, 10"
7#5,C#,4,"C#, F, A, B","49, 53, 57, 59","0, 4, 8, 10"
7b9,C#,4,"C#, F, G#, B, D","49, 53, 56, 59, 62","0, 4, 7, 10, 13"
7#9,C#,4,"C#, F, G#, B, E","49, 53, 56, 59, 64","0, 4, 7, 10, 15"
hdim,C#,4,"C#, E, G, B","49, 52, 55, 59","0, 3, 6, 10"
maj,D,4,"D, F#, A","50, 54, 57","0, 4, 7"
min,D,4,"D, F, A","50, 53, 57","0, 3, 7"
7,D,4,"D, F#, A, C","50, 54, 57, 60","0, 4, 7, 10"
maj7,D,4,"D, F#, A, C#","50, 54, 57, 61","0, 4, 7, 11"
min7,D,4,"D, F, A, C","50, 53, 57, 60","0, 3, 7, 10"
minmaj7,D,4,"D, F, A, C#","50, 53, 57, 61","0, 3, 7, 11"
dim,D,4,"D, F, G#","50, 53, 56","0, 3, 6"
aug,D,4,"D, F#, A#","50, 54, 58","0, 4, 8"
aug(b7),D,4,"D, F#, A#, C#","50, 54, 58, 61","0, 4, 8, 11"
sus2,D,4,"D, E, A","50, 52, 57","0, 2, 7"
sus4,D,4,"D, G, A","50, 55, 57","0, 5, 7"
#4,D,4,"D, G#, A","50, 56, 57","0, 6, 7"
9,D,4,"D, F#, A, C, E","50, 54, 57, 60, 64","0, 4, 7, 10, 14"
11,D,4,"D, F#, A, C, E, G","50, 54, 57, 60, 64, 67","0, 4, 7, 10, 14, 17"
13,D,4,"D, F#, A, C, E, G, B","50, 54, 57, 60, 64, 67, 71","0, 4, 7, 10, 14, 17, 21"
min9,D,4,"D, F, A, C, E","50, 53, 57, 60, 64","0, 3, 7, 10, 14"
min11,D,4,"D, F, A, C, E, G","50, 53, 57, 60, 64, 67","0, 3, 7, 10, 14, 17"
min13,D,4,"D, F, A, C, E, G, B","50, 53, 57, 60, 64, 67, 71","0, 3, 7, 10, 14, 17, 21"
maj6,D,4,"D, F#, A, B","50, 54, 57, 59","0, 4, 7, 9"
b6,D,4,"D, F#, A, A#","50, 54, 57, 58","0, 4, 7, 8"
b3,D,4,"D, E, F#, A","50, 52, 54, 57","0, 2, 4, 7"
#9,D,4,"D, F#, A, F","50, 54, 57, 65","0, 4, 7, 15"
dim7,D,4,"D, F, G#, B","50, 53, 56, 59","0, 3, 6, 9"
min6,D,4,"D, F, A, B","50, 53, 57, 59","0, 3, 7, 9"
maj9,D,4,"D, F#, A, C#, E","50, 54, 57, 61, 64","0, 4, 7, 11, 14"
7sus2,D,4,"D, E, A, C","50, 52, 57, 60","0, 2, 7, 10"
7sus4,D,4,"D, G, A, C","50, 55, 57, 60","0, 5, 7, 10"
7b5,D,4,"D, F#, G#, C","50, 54, 56, 60","0, 4, 6, 10"
7#5,D,4,"D, F#, A#, C","50, 54, 58, 60","0, 4, 8, 10"
7b9,D,4,"D, F#, A, C, D#","50, 54, 57, 60, 63","0, 4, 7, 10, 13"
7#9,D,4,"D, F#, A, C, F","50, 54, 57, 60, 65","0, 4, 7, 10, 15"
hdim,D,4,"D, F, G#, C","50, 53, 56, 60","0, 3, 6, 10"
maj,D#,4,"D#, G, A#","51, 55, 58","0, 4, 7"
min,D#,4,"D#, F#, A#","51, 54, 58","0, 3, 7"
7,D#,4,"D#, G, A#, C#","51, 55, 58, 61","0, 4, 7, 10"
maj7,D#,4,"D#, G, A#, D","51, 55, 58, 62","0, 4, 7, 11"
min7,D#,4,"D#, F#, A#, C#","51, 54, 58, 61","0, 3, 7, 10"
minmaj7,D#,4,"D#, F#, A#, D","51, 54, 58, 62","0, 3, 7, 11"
dim,D#,4,"D#, F#, A","51, 54, 57","0, 3, 6"
aug,D#,4,"D#, G, B","51, 55, 59","0, 4, 8"
aug(b7),D#,4,"D#, G, B, D","51, 55, 59, 62","0, 4, 8, 11"
sus2,D#,4,"D#, F, A#","51, 53, 58","0, 2, 7"
sus4,D#,4,"D#, G#, A#","51, 56, 58","0, 5, 7"
#4,D#,4,"D#, A, A#","51, 57, 58","0, 6, 7"
9,D#,4,"D#, G, A#, C#, F","51, 55, 58, 61, 65","0, 4, 7, 10, 14"
11,D#,4,"D#, G, A#, C#, F, G#","51, 55, 58, 61, 65, 68","0, 4, 7, 10, 14, 17"
13,D#,4,"D#, G, A#, C#, F, G#, C","51, 55, 58, 61, 65, 68, 72","0, 4, 7, 10, 14, 17, 21"
min9,D#,4,"D#, F#, A#, C#, F","51, 54, 58, 61, 65","0, 3, 7, 10, 14"
min11,D#,4,"D#, F#, A#, C#, F, G#","51, 54, 58, 61, 65, 68","0, 3, 7, 10, 14, 17"
min13,D#,4,"D#, F#, A#, C#, F, G#, C","51, 54, 58, 61, 65, 68, 72","0, 3, 7, 10, 14, 17, 21"
maj6,D#,4,"D#, G, A#, C","51, 55, 58, 60","0, 4, 7, 9"
b6,D#,4,"D#, G, A#, B","51, 55, 58, 59","0, 4, 7, 8"
b3,D#,4,"D#, F, G, A#","51, 53, 55, 58","0, 2, 4, 7"
#9,D#,4,"D#, G, A#, F#","51, 55, 58, 66","0, 4, 7, 15"
dim7,D#,4,"D#, F#, A, C","51, 54, 57, 60","0, 3, 6, 9"
min6,D#,4,"D#, F#, A#, C","51, 54, 58, 60","0, 3, 7, 9"
maj9,D#,4,"D#, G, A#, D, F","51, 55, 58, 62, 65","0, 4, 7, 11, 14"
7sus2,D#,4,"D#, F, A#, C#","51, 53, 58, 61","0, 2, 7, 10"
7sus4,D#,4,"D#, G#, A#, C#","51, 56, 58, 61","0, 5, 7, 10"
7b5,D#,4,"D#, G, A, C#","51, 55, 57, 61","0, 4, 6, 10"
7#5,D#,4,"D#, G, B, C#","51, 55, 59, 61","0, 4, 8, 10"
7b9,D#,4,"D#, G, A#, C#, E","51, 55, 58, 61, 64","0, 4, 7, 10, 13"
7#9,D#,4,"D#, G, A#, C#, F#","51, 55, 58, 61, 66","0, 4, 7, 10, 15"
hdim,D#,4,"D#, F#, A, C#","51, 54, 57, 61","0, 3, 6, 10"
maj,E,4,"E, G#, B","52, 56, 59","0, 4, 7"
min,E,4,"E, G, B","52, 55, 59","0, 3, 7"
7,E,4,"E, G#, B, D","52, 56, 59, 62","0, 4, 7, 10"
maj7,E,4,"E, G#, B, D#","52, 56, 59, 63","0, 4, 7, 11"
min7,E,4,"E, G, B, D","52, 55, 59, 62","0, 3, 7, 10"
minmaj7,E,4,"E, G, B, D#","52, 55, 59, 63","0, 3, 7, 11"
dim,E,4,"E, G, A#","52, 55, 58","0, 3, 6"
aug,E,4,"E, G#, C","52, 56, 60","0, 4, 8"
aug(b7),E,4,"E, G#, C, D#","52, 56, 60, 63","0, 4, 8, 11"
sus2,E,4,"E, F#, B","52, 54, 59","0, 2, 7"
sus4,E,4,"E, A, B","52, 57, 59","0, 5, 7"
#4,E,4,"E, A#, B","52, 58, 59","0, 6, 7"
9,E,4,"E, G#, B, D, F#","52, 56, 59, 62, 66","0, 4, 7, 10, 14"
11,E,4,"E, G#, B, D, F#, A","52, 56, 59, 62, 66, 69","0, 4, 7, 10, 14, 17"
13,E,4,"E, G#, B, D, F#, A, C#","52, 56, 59, 62, 66, 69, 73","0, 4, 7, 10, 14, 17, 21"
min9,E,4,"E, G, B, D, F#","52, 55, 59, 62, 66","0, 3, 7, 10, 14"
min11,E,4,"E, G, B, D, F#, A","52, 55, 59, 62, 66, 69","0, 3, 7, 10, 14, 17"
min13,E,4,"E, G, B, D, F#, A, C#","52, 55, 59, 62, 66, 69, 73","0, 3, 7, 10, 14, 17, 21"
maj6,E,4,"E, G#, B, C#","52, 56, 59, 61","0, 4, 7, 9"
b6,E,4,"E, G#, B, C","52, 56, 59, 60","0, 4, 7, 8"
b3,E,4,"E, F#, G#, B","52, 54, 56, 59","0, 2, 4, 7"
#9,E,4,"E, G#, B, G","52, 56, 59, 67","0, 4, 7, 15"
dim7,E,4,"E, G, A#, C#","52, 55, 58, 61","0, 3, 6, 9"
min6,E,4,"E, G, B, C#","52, 55, 59, 61","0, 3, 7, 9"
maj9,E,4,"E, G#, B, D#, F#","52, 56, 59, 63, 66","0, 4, 7, 11, 14"
7sus2,E,4,"E, F#, B, D","52, 54, 59, 62","0, 2, 7, 10"
7sus4,E,4,"E, A, B, D","52, 57, 59, 62","0, 5, 7, 10"
7b5,E,4,"E, G#, A#, D","52, 56, 58, 62","0, 4, 6, 10"
7#5,E,4,"E, G#, C, D","52, 56, 60, 62","0, 4, 8, 10"
7b9,E,4,"E, G#, B, D, F","52, 56, 59, 62, 65","0, 4, 7, 10, 13"
7#9,E,4,"E, G#, B, D, G","52, 56, 59, 62, 67","0, 4, 7, 10, 15"
hdim,E,4,"E, G, A#, D","52, 55, 58, 62","0, 3, 6, 10"
maj,F,4,"F, A, C","53, 57, 60","0, 4, 7"
min,F,4,"F, G#, C","53, 56, 60","0, 3, 7"
7,F,4,"F, A, C, D#","53, 57, 60, 63","0, 4, 7, 10"
maj7,F,4,"F, A, C, E","53, 57, 60, 64","0, 4, 7, 11"
min7,F,4,"F, G#, C, D#","53, 56, 60, 63","0, 3, 7, 10"
minmaj7,F,4,"F, G#, C, E","53, 56, 60, 64","0, 3, 7, 11"
dim,F,4,"F, G#, B","53, 56, 59","0, 3, 6"
aug,F,4,"F, A, C#","53, 57, 61","0, 4, 8"
aug(b7),F,4,"F, A, C#, E","53, 57, 61, 64","0, 4, 8, 11"
sus2,F,4,"F, G, C","53, 55, 60","0, 2, 7"
sus4,F,4,"F, A#, C","53, 58, 60","0, 5, 7"
#4,F,4,"F, B, C","53, 59, 60","0, 6, 7"
9,F,4,"F, A, C, D#, G","53, 57, 60, 63, 67","0, 4, 7, 10, 14"
11,F,4,"F, A, C, D#, G, A#","53, 57, 60, 63, 67, 70","0, 4, 7, 10, 14, 17"
13,F,4,"F, A, C, D#, G, A#, D","53, 57, 60, 63, 67, 70, 74","0, 4, 7, 10, 14, 17, 21"
min9,F,4,"F, G#, C, D#, G","53, 56, 60, 63, 67","0, 3, 7, 10, 14"
min11,F,4,"F, G#, C, D#, G, A#","53, 56, 60, 63, 67, 70","0, 3, 7, 10, 14, 17"
min13,F,4,"F, G#, C, D#, G, A#, D","53, 56, 60, 63, 67, 70, 74","0, 3, 7, 10, 14, 17, 21"
maj6,F,4,"F, A, C, D","53, 57, 60, 62","0, 4, 7, 9"
b6,F,4,"F, A, C, C#","53, 57, 60, 61","0, 4, 7, 8"
b3,F,4,"F, G, A, C","53, 55, 57, 60","0, 2, 4, 7"
#9,F,4,"F, A, C, G#","53, 57, 60, 68","0, 4, 7, 15"
dim7,F,4,"F, G#, B, D","53, 56, 59, 62","0, 3, 6, 9"
min6,F,4,"F, G#, C, D","53, 56, 60, 62","0, 3, 7, 9"
maj9,F,4,"F, A, C, E, G","53, 57, 60, 64, 67","0, 4, 7, 11, 14"
7sus2,F,4,"F, G, C, D#","53, 55, 60, 63","0, 2, 7, 10"
7sus4,F,4,"F, A#, C, D#","53, 58, 60, 63","0, 5, 7, 10"
7b5,F,4,"F, A, B, D#","53, 57, 59, 63","0, 4, 6, 10"
7#5,F,4,"F, A, C#, D#","53, 57, 61, 63","0, 4, 8, 10"
7b9,F,4,"F, A, C, D#, F#","53, 57, 60, 63, 66","0, 4, 7, 10, 13"
7#9,F,4,"F, A, C, D#, G#","53, 57, 60, 63, 68","0, 4, 7, 10, 15"
hdim,F,4,"F, G#, B, D#","53, 56, 59, 63","0, 3, 6, 10"
maj,F#,4,"F#, A#, C#","54, 58, 61","0, 4, 7"
min,F#,4,"F#, A, C#","54, 57, 61","0, 3, 7"
7,F#,4,"F#, A#, C#, E","54, 58, 61, 64","0, 4, 7, 10"
maj7,F#,4,"F#, A#, C#, F","54, 58, 61, 65","0, 4, 7, 11"
min7,F#,4,"F#, A, C#, E","54, 57, 61, 64","0, 3, 7, 10"
minmaj7,F#,4,"F#, A, C#, F","54, 57, 61, 65","0, 3, 7, 11"
dim,F#,4,"F#, A, C","54, 57, 60","0, 3, 6"
aug,F#,4,"F#, A#, D","54, 58, 62","0, 4, 8"
aug(b7),F#,4,"F#, A#, D, F","54, 58, 62, 65","0, 4, 8, 11"
sus2,F#,4,"F#, G#, C#","54, 56, 61","0, 2, 7"
sus4,F#,4,"F#, B, C#","54, 59, 61","0, 5, 7"
#4,F#,4,"F#, C, C#","54, 60, 61","0, 6, 7"
9,F#,4,"F#, A#, C#, E, G#","54, 58, 61, 64, 68","0, 4, 7, 10, 14"
11,F#,4,"F#, A#, C#, E, G#, B","54, 58, 61, 64, 68, 71","0, 4, 7, 10, 14, 17"
13,F#,4,"F#, A#, C#, E, G#, B, D#","54, 58, 61, 64, 68, 71, 75","0, 4, 7, 10, 14, 17, 21"
min9,F#,4,"F#, A, C#, E, G#","54, 57, 61, 64, 68","0, 3, 7, 10, 14"
min11,F#,4,"F#, A, C#, E, G#, B","54, 57, 61, 64, 68, 71","0, 3, 7, 10, 14, 17"
min13,F#,4,"F#, A, C#, E, G#, B, D#","54, 57, 61, 64, 68, 71, 75","0, 3, 7, 10, 14, 17, 21"
maj6,F#,4,"F#, A#, C#, D#","54, 58, 61, 63","0, 4, 7, 9"
b6,F#,4,"F#, A#, C#, D","54, 58, 61, 62","0, 4, 7, 8"
b3,F#,4,"F#, G#, A#, C#","54, 56, 58, 61","0, 2, 4, 7"
#9,F#,4,"F#, A#, C#, A","54, 58, 61, 69","0, 4, 7, 15"
dim7,F#,4,"F#, A, C, D#","54, 57, 60, 63","0, 3, 6, 9"
min6,F#,4,"F#, A, C#, D#","54, 57, 61, 63","0, 3, 7, 9"
maj9,F#,4,"F#, A#, C#, F, G#","54, 58, 61, 65, 68","0, 4, 7, 11, 14"
7sus2,F#,4,"F#, G#, C#, E","54, 56, 61, 64","0, 2, 7, 10"
7sus4,F#,4,"F#, B, C#, E","54, 59, 61, 64","0, 5, 7, 10"
7b5,F#,4,"F#, A#, C, E","54, 58, 60, 64","0, 4, 6, 10"
7#5,F#,4,"F#, A#, D, E","54, 58, 62, 64","0, 4, 8, 10"
7b9,F#,4,"F#, A#, C#, E, G","54, 58, 61, 64, 67","0, 4, 7, 10, 13"
7#9,F#,4,"F#, A#, C#, E, A","54, 58, 61, 64, 69","0, 4, 7, 10, 15"
hdim,F#,4,"F#, A, C, E","54, 57, 60, 64","0, 3, 6, 10"
maj,G,4,"G, B, D","55, 59, 62","0, 4, 7"
min,G,4,"G, A#, D","55, 58, 62","0, 3, 7"
7,G,4,"G, B, D, F","55, 59, 62, 65","0, 4, 7, 10"
maj7,G,4,"G, B, D, F#","55, 59, 62, 66","0, 4, 7, 11"
min7,G,4,"G, A#, D, F","55, 58, 62, 65","0, 3, 7, 10"
minmaj7,G,4,"G, A#, D, F#","55, 58, 62, 66","0, 3, 7, 11"
dim,G,4,"G, A#, C#","55, 58, 61","0, 3, 6"
aug,G,4,"G, B, D#","55, 59, 63","0, 4, 8"
aug(b7),G,4,"G, B, D#, F#","55, 59, 63, 66","0, 4, 8, 11"
sus2,G,4,"G, A, D","55, 57, 62","0, 2, 7"
sus4,G,4,"G, C, D","55, 60, 62","0, 5, 7"
#4,G,4,"G, C#, D","55, 61, 62","0, 6, 7"
9,G,4,"G, B, D, F, A","55, 59, 62, 65, 69","0, 4, 7, 10, 14"
11,G,4,"G, B, D, F, A, C","55, 59, 62, 65, 69, 72","0, 4, 7, 10, 14, 17"
13,G,4,"G, B, D, F, A, C, E","55, 59, 62, 65, 69, 72, 76","0, 4, 7, 10, 14, 17, 21"
min9,G,4,"G, A#, D, F, A","55, 58, 62, 65, 69","0, 3, 7, 10, 14"
min11,G,4,"G, A#, D, F, A, C","55, 58, 62, 65, 69, 72","0, 3, 7, 10, 14, 17"
min13,G,4,"G, A#, D, F, A, C, E","55, 58, 62, 65, 69, 72, 76","0, 3, 7, 10, 14, 17, 21"
maj6,G,4,"G, B, D, E","55, 59, 62, 64","0, 4, 7, 9"
b6,G,4,"G, B, D, D#","55, 59, 62, 63","0, 4, 7, 8"
b3,G,4,"G, A, B, D","55, 57, 59, 62","0, 2, 4, 7"
#9,G,4,"G, B, D, A#","55, 59, 62, 70","0, 4, 7, 15"
dim7,G,4,"G, A#, C#, E","55, 58, 61, 64","0, 3, 6, 9"
min6,G,4,"G, A#, D, E","55, 58, 62, 64","0, 3, 7, 9"
maj9,G,4,"G, B, D, F#, A","55, 59, 62, 66, 69","0, 4, 7, 11, 14"
7sus2,G,4,"G, A, D, F","55, 57, 62, 65","0, 2, 7, 10"
7sus4,G,4,"G, C, D, F","55, 60, 62, 65","0, 5, 7, 10"
7b5,G,4,"G, B, C#, F","55, 59, 61, 65","0, 4, 6, 10"
7#5,G,4,"G, B, D#, F","55, 59, 63, 65","0, 4, 8, 10"
7b9,G,4,"G, B, D, F, G#","55, 59, 62, 65, 68","0, 4, 7, 10, 13"
7#9,G,4,"G, B, D, F, A#","55, 59, 62, 65, 70","0, 4, 7, 10, 15"
hdim,G,4,"G, A#, C#, F","55, 58, 61, 65","0, 3, 6, 10"
maj,G#,4,"G#, C, D#","56, 60, 63","0, 4, 7"
min,G#,4,"G#, B, D#","56, 59, 63","0, 3, 7"
7,G#,4,"G#, C, D#, F#","56, 60, 63, 66","0, 4, 7, 10"
maj7,G#,4,"G#, C, D#, G","56, 60, 63, 67","0, 4, 7, 11"
min7,G#,4,"G#, B, D#, F#","56, 59, 63, 66","0, 3, 7, 10"
minmaj7,G#,4,"G#, B, D#, G","56, 59, 63, 67","0, 3, 7, 11"
dim,G#,4,"G#, B, D","56, 59, 62","0, 3, 6"
aug,G#,4,"G#, C, E","56, 60, 64","0, 4, 8"
aug(b7),G#,4,"G#, C, E, G","56, 60, 64, 67","0, 4, 8, 11"
sus2,G#,4,"G#, A#, D#","56, 58, 63","0, 2, 7"
sus4,G#,4,"G#, C#, D#","56, 61, 63","0, 5, 7"
#4,G#,4,"G#, D, D#","56, 62, 63","0, 6, 7"
9,G#,4,"G#, C, D#, F#, A#","56, 60, 63, 66, 70","0, 4, 7, 10, 14"
11,G#,4,"G#, C, D#, F#, A#, C#","56, 60, 63, 66, 70, 73","0, 4, 7, 10, 14, 17"
13,G#,4,"G#, C, D#, F#, A#, C#, F","56, 60, 63, 66, 70, 73, 77","0, 4, 7, 10, 14, 17, 21"
min9,G#,4,"G#, B, D#, F#, A#","56, 59, 63, 66, 70","0, 3, 7, 10, 14"
min11,G#,4,"G#, B, D#, F#, A#, C#","56, 59, 63, 66, 70, 73","0, 3, 7, 10, 14, 17"
min13,G#,4,"G#, B, D#, F#, A#, C#, F","56, 59, 63, 66, 70, 73, 77","0, 3, 7, 10, 14, 17, 21"
maj6,G#,4,"G#, C, D#, F","56, 60, 63, 65","0, 4, 7, 9"
b6,G#,4,"G#, C, D#, E","56, 60, 63, 64","0, 4, 7, 8"
b3,G#,4,"G#, A#, C, D#","56, 58, 60, 63","0, 2, 4, 7"
#9,G#,4,"G#, C, D#, B","56, 60, 63, 71","0, 4, 7, 15"
dim7,G#,4,"G#, B, D, F","56, 59, 62, 65","0, 3, 6, 9"
min6,G#,4,"G#, B, D#, F","56, 59, 63, 65","0, 3, 7, 9"
